"student_id","email","hashed_password","created_at","updated_at","subjects","courses","class"
eda278bd-d5fb-4f97-ac1f-f4e91957fec5,aakra4@gmail.com,"123","2023-04-21T18:44:55.171Z","22/02/2023",{Dsa},{Dsa101},"10"
b1b31b9c-e008-4094-96ae-ab2125a937d0,aakr4@gmail.com,"123","2023-04-21T18:50:18.511Z","2023-04-21T18:50:18.511Z",{Dsa},{Dsa101},"10"
f7f5d910-73bb-4d2a-8a25-29fa05489db9,aa14@gmail.com,"123","2023-04-21T19:48:17.268Z","2023-04-21T19:48:17.268Z",{Dsa},{Dsa101},"10"
"286e8afa-4142-4351-a5fd-ca34f972bc69",aa11@gmail.com,"123","2023-04-22T05:55:55.187Z","2023-04-22T05:55:55.187Z",{Dsa},{Dsa101},"10"
"12203448-8ace-4e03-9175-045db4d68b19",a111@gmail.com,"123","2023-04-22T08:40:37.533Z","2023-04-22T08:40:37.533Z",{Dsa},{Dsa101},"10"
a6109626-fc9c-455a-b2b2-a5892ffcfa49,a011@gmail.com,"123","2023-04-22T08:40:53.097Z","2023-04-22T08:40:53.097Z",{Dsa},{Dsa102},"10"
"3f6e571e-b34d-4e58-9bbe-997015db48a3",a021@gmail.com,"123","2023-04-22T08:41:28.915Z","2023-04-22T08:41:28.915Z","{Coding,Dsa}","{Dsa102,React}","10"
"68aea7a9-643d-4b42-889c-39122d669337",a031@gmail.com,"123","2023-04-22T08:41:39.865Z","2023-04-22T08:41:39.865Z","{Coding,Dsa}","{Dsa102,React}","10"
bf72b567-197f-46e8-ae03-39dc058fc12c,a041@gmail.com,"123","2023-04-22T08:41:46.948Z","2023-04-22T08:41:46.948Z","{Coding,Dsa}","{Dsa102,React}","10"
"9045c1dd-d9a0-4448-a292-254ee77dee02",a051@gmail.com,"123","2023-04-22T08:41:58.206Z","2023-04-22T08:41:58.206Z","{Coding,Dsa}","{Dsa102,React}","9"
fcb9fa0d-b563-4b28-b39a-2fe50e763049,a061@gmail.com,"123","2023-04-22T08:42:06.582Z","2023-04-22T08:42:06.582Z","{Coding,Dsa}","{Dsa102,React}","8"
"1cb70c2b-0c87-45ed-9562-4fad4de32bd1",a071@gmail.com,"123","2023-04-22T08:47:03.169Z","2023-04-22T08:47:03.169Z","{Coding,Dsa}","{Dsa102,React}","7"
"955bb0fc-92aa-431c-9850-277c9c87fa26",a081@gmail.com,"123","2023-04-22T08:48:31.442Z","2023-04-22T08:48:31.442Z","{Coding,Dsa}","{Dsa102,React}","9"
